Nodes,BF,SCBF,DJK
0,101.46875,101.75,101.46875
20,100.75,100.765625,100.84375
40,100.96875,100.921875,100.828125
60,100.625,100.625,100.625
80,100.625,100.578125,100.5625
100,100.5625,100.671875,100.671875
120,100.84375,100.90625,100.875
140,101.265625,101.265625,76
160,49.6875,27.796875,27.6875
180,28.671875,29.171875,29.03125
200,29.375,29.375,29.390625
220,30.6875,30.8125,29.765625
240,31.046875,30.5,30.625
260,32.203125,32.3125,32.328125
280,33.96875,33.984375,33.984375
300,36.28125,36.296875,36.296875
320,38.84375,35.234375,25.34375
340,35.484375,35.671875,35.828125
360,41.3125,38.421875,38.484375
380,51.140625,51.296875,51.328125
400,54.625,52.515625,52.6875
420,55.078125,54.6875,52.140625
440,57.640625,40.6875,41
460,49.40625,45.703125,47.21875
480,54,39.859375,42.65625
500,51.6875,28.34375,35.703125
520,50,45.828125,47.28125
540,55.875,30.234375,36.78125
560,54.078125,35.546875,40.921875
580,54.546875,32.171875,39.015625
600,56.609375,33.75,40.734375
620,58.703125,57.3125,63.140625
640,74,36.046875,42.890625
660,62.8125,36.375,43.359375
680,66.859375,37.921875,44.875
700,66.890625,38.234375,45.53125
720,69.609375,40.609375,47.859375
740,72.109375,41.3125,48.1875
760,74.9375,43.125,50.296875
780,77.359375,72.140625,73.125
800,87.109375,47.8125,54.25
820,82.96875,46.453125,52.515625
840,87.09375,49.125,56.328125
860,90.171875,49.5,56.28125
880,91.625,54.875,63.46875
900,99.71875,53.03125,59.546875
920,96.234375,55.625,62.140625
940,99.5,54.34375,61.265625
960,103.828125,56.328125,63.375
980,106.09375,57,63.9375
1000,111.25,59.609375,66.515625
1020,112.984375,59.828125,66.75
1040,115.59375,62.390625,69.21875
1060,120.375,63.125,70.21875
1080,122.109375,65.09375,71.90625
1100,126.859375,65.984375,72.90625
1120,127.859375,68.046875,74.84375
1140,131.1875,69.71875,76.625
1160,134.125,71.71875,78.578125
1180,138.9375,72.5,79.40625